Price,zip,Year Built,Bedrooms,Bathrooms,Approx SQFT,CrimeRate,Hightest_Rated_School
698900,85028,1971,3,2.5,2093.0,0.6,99.97
485000,85023,1995,3,2.0,1370.0,3.4,91.9
399800,85031,1955,3,2.0,1336.0,2.4,100.04
445000,85029,1970,4,2.0,2485.0,3.3,91.9
985000,85018,1952,5,2.0,2548.0,2.2,75.8
755000,85254,1984,3,2.0,1716.0,1.1,99.97
689000,85016,1953,3,2.0,1670.0,3.2,97.13
729000,85022,1987,4,3.0,2527.0,2.6,99.97
375000,85017,1953,3,1.5,1689.0,4.1,100.04
440000,85043,2007,4,2.0,1949.0,3.2,76.86
375000,85009,1941,3,1.0,1190.0,4.0,65.7
879000,85257,1956,3,2.0,2090.0,2.5,101.35
375000,85019,1956,4,2.0,1662.0,2.5,100.04
430000,85015,1954,3,2.0,1500.0,5.5,100.04
699900,85003,1926,2,2.0,1383.0,1.1,94.44
735000,85257,1958,3,2.0,1589.0,2.5,101.35
455000,85023,1995,3,2.0,1312.0,3.4,91.9
895000,85021,1963,4,3.0,2220.0,2.8,91.9
575000,85029,1952,3,2.0,1942.0,3.3,91.9
355000,85031,1956,4,2.0,1695.0,2.4,100.04
989000,85013,1949,4,3.5,2200.0,2.0,72.93
849900,85028,1974,5,3.0,2744.0,0.6,99.97
749800,85028,2004,3,2.0,2136.0,0.6,99.97
315000,85017,1951,2,1.0,852.0,4.1,100.04
425000,85053,1971,3,2.0,1448.0,1.5,91.9
838000,85257,2020,4,2.0,2089.0,2.5,101.35
499000,85016,1953,3,2.0,1272.0,3.2,97.13
695000,85013,1941,3,3.0,1708.0,2.0,72.93
360000,85019,1959,3,2.0,1290.0,2.5,100.04
459900,85053,1972,4,3.0,1652.0,1.5,91.9
925000,85018,1953,4,2.75,2415.0,2.2,75.8
549999,85018,1950,3,2.0,1370.0,2.2,75.8
239000,85023,1982,2,2.0,980.0,3.4,91.9
529900,85032,1969,3,2.0,1240.0,3.2,99.97
520000,85041,2005,5,2.5,3237.0,4.5,76.54
675000,85281,1982,3,2.5,2107.0,0.0,94.49
750000,85257,1957,3,2.0,1853.0,2.5,101.35
349900,85009,1947,3,2.0,1240.0,4.0,65.7
439999,85006,1944,3,2.0,1672.0,1.9,94.44
499997,85339,2005,5,2.5,2236.0,2.0,94.47
720000,85016,1955,4,2.0,2514.0,3.2,97.13
499000,85007,1931,3,1.0,716.0,1.6,94.44
965000,85028,1964,5,3.5,2694.0,0.6,99.97
334500,85009,1948,3,2.0,2461.0,4.0,65.7
649500,85251,1957,4,2.0,1410.0,0.0,101.35
385000,85031,1958,5,2.0,1977.0,2.4,100.04
435000,85032,1979,3,2.0,1364.0,3.2,99.97
569900,85029,1972,3,2.0,1610.0,3.3,91.9
895000,85051,2002,5,3.5,3029.0,4.3,91.9
690000,85023,1971,4,2.0,2182.0,3.4,91.9
474999,85009,1928,3,1.5,1178.0,4.0,65.7
369900,85020,1948,2,1.0,841.0,2.1,97.13
325000,85051,1953,3,1.0,1454.0,4.3,91.9
910000,85257,1956,4,3.0,2115.0,2.5,101.35
434900,85017,1952,4,2.0,1977.0,4.1,100.04
499000,85032,1979,3,2.0,1498.0,3.2,99.97
405000,85017,1958,3,1.75,1636.0,4.1,100.04
394900,85031,1957,5,2.0,1758.0,2.4,100.04
525000,85041,2005,4,3.5,3770.0,4.5,76.54
405000,85281,1970,3,2.0,1433.0,0.0,94.49
490000,85022,1960,4,2.0,1526.0,2.6,99.97
369900,85035,1972,4,2.0,1280.0,3.3,95.89
529900,85041,2009,4,3.0,2326.0,4.5,76.54
475000,85041,2017,4,2.0,2226.0,4.5,76.54
320000,85043,1982,4,1.0,1008.0,3.2,76.86
425000,85053,1974,4,2.0,1504.0,1.5,91.9
491000,85303,2019,3,2.0,1895.0,0.0,95.89
440000,85009,2019,4,3.0,1942.0,4.0,65.7
440000,85345,1989,3,2.0,1287.0,0.0,85.28
397900,85033,1960,4,2.0,1658.0,3.0,95.89
404000,85051,1971,3,2.0,1308.0,4.3,91.9
475000,85042,1987,5,2.0,1927.0,2.9,76.54
550000,85032,1978,3,2.0,1720.0,3.2,99.97
325000,85008,1937,4,1.5,1706.0,4.5,81.79
520000,85032,1978,3,2.0,1593.0,3.2,99.97
450000,85015,1953,4,3.0,2096.0,5.5,100.04
439000,85032,1969,3,2.0,1414.0,3.2,99.97
450000,85029,1961,5,2.0,1750.0,3.3,91.9
417000,85022,1984,2,2.0,1240.0,2.6,99.97
374999,85051,1954,3,2.0,1176.0,4.3,91.9
430000,85051,1971,3,2.0,1932.0,4.3,91.9
345000,85009,1955,3,2.0,1368.0,4.0,65.7
309000,85029,1974,3,2.0,1209.0,3.3,91.9
390000,85041,1970,6,3.0,1932.0,4.5,76.54
445000,85035,2014,3,2.0,1656.0,3.3,95.89
350000,85041,2004,2,1.0,950.0,4.5,76.54
525000,85301,1970,4,2.0,2878.0,0.0,100.04
380000,85008,1947,2,1.0,1033.0,4.5,81.79
375000,85043,2005,3,2.5,1609.0,3.2,76.86
575000,85015,1989,3,2.0,1485.0,5.5,100.04
468000,85041,2017,4,3.0,2357.0,4.5,76.54
470000,85015,1948,4,2.0,1626.0,5.5,100.04
445000,85051,1975,4,2.0,1560.0,4.3,91.9
775000,85018,1954,4,2.0,1554.0,2.2,75.8
345000,85009,1951,3,2.0,1134.0,4.0,65.7
429500,85043,2002,3,2.0,1587.0,3.2,76.86
374999,85029,1964,3,2.0,1285.0,3.3,91.9
490000,85029,1971,3,2.0,1590.0,3.3,91.9
299000,85009,1948,2,1.0,713.0,4.0,65.7
385000,85303,2003,3,2.0,1546.0,0.0,95.89
900000,85016,1947,4,3.5,2556.0,3.2,97.13
462000,85053,1978,3,2.0,1752.0,1.5,91.9
339900,85008,1950,2,2.0,740.0,4.5,81.79
435000,85021,1947,4,2.0,1719.0,2.8,91.9
720000,85016,1955,3,2.0,1436.0,3.2,97.13
415000,85020,1961,3,2.0,1120.0,2.1,97.13
530000,85014,1997,4,2.0,1578.0,1.9,97.13
750000,85018,1950,4,2.0,1688.0,2.2,75.8
650000,85006,1926,4,2.0,1840.0,1.9,94.44
355000,85040,1954,3,1.0,1040.0,2.8,76.54
460000,85302,1979,4,2.0,2040.0,0.0,91.9
550000,85016,1972,5,3.0,2343.0,3.2,97.13
750000,85016,1956,3,2.0,1412.0,3.2,97.13
345000,85009,1958,4,2.0,1225.0,4.0,65.7
615000,85013,1955,3,2.0,1414.0,2.0,72.93
455000,85302,1974,4,1.75,2052.0,0.0,91.9
435000,85051,1968,4,2.0,2088.0,4.3,91.9
450000,85041,2003,3,2.0,1317.0,4.5,76.54
365000,85301,1991,3,1.0,1012.0,0.0,100.04
650000,85016,1948,3,2.0,1722.0,3.2,97.13
399900,85033,1963,3,2.0,2064.0,3.0,95.89
320000,85041,1960,3,1.0,1150.0,4.5,76.54
440000,85041,2002,4,2.5,1830.0,4.5,76.54
917700,85014,2022,4,3.0,2322.0,1.9,97.13
277700,85301,1951,3,2.0,968.0,0.0,100.04
325000,85051,1955,3,2.0,1456.0,4.3,91.9
850000,85013,1951,4,2.0,1874.0,2.0,72.93
550000,85281,1960,5,1.75,2283.0,0.0,94.49
870000,85250,1980,3,2.0,1689.0,2.5,101.35
399997,85019,1962,4,3.0,2127.0,2.5,100.04
349999,85033,1960,3,1.5,1020.0,3.0,95.89
775000,85022,1977,4,2.0,2354.0,2.6,99.97
949900,85251,1957,3,2.0,1586.0,0.0,101.35
475000,85041,2002,4,2.0,1769.0,4.5,76.54
395000,85301,1960,5,2.0,1760.0,0.0,100.04
599000,85015,1952,3,2.0,936.0,5.5,100.04
379000,85303,1990,3,2.0,1797.0,0.0,95.89
419900,85016,1948,3,1.0,1218.0,3.2,97.13
425000,85303,2002,4,2.0,1729.0,0.0,95.89
429900,85019,1965,4,2.0,1742.0,2.5,100.04
319000,85031,1956,3,1.75,1135.0,2.4,100.04
415000,85040,2018,3,2.0,1596.0,2.8,76.54
395000,85041,2005,3,2.0,1900.0,4.5,76.54
575000,85304,2017,3,2.0,1851.0,0.2,91.9
499900,85008,1952,3,1.75,1569.0,4.5,81.79
699000,85029,1970,4,2.0,2428.0,3.3,91.9
775000,85018,1952,3,2.0,2120.0,2.2,75.8
525000,85004,2020,3,2.5,2290.0,1.2,94.44
470000,85043,2006,4,3.0,2405.0,3.2,76.86
370000,85033,1982,3,2.0,1565.0,3.0,95.89
449900,85032,1973,3,2.0,1066.0,3.2,99.97
377000,85019,1960,3,1.75,1276.0,2.5,100.04
415000,85037,1996,4,2.0,1462.0,1.9,85.28
524900,85020,1983,2,2.0,1602.0,2.1,97.13
239000,85008,1940,3,1.0,1336.0,4.5,81.79
750000,85018,1955,3,2.0,1452.0,2.2,75.8
410000,85033,1974,4,2.0,1994.0,3.0,95.89
469000,85015,1955,3,2.0,1619.0,5.5,100.04
405000,85031,1956,4,2.0,1386.0,2.4,100.04
395000,85031,1957,4,2.0,1704.0,2.4,100.04
438000,85020,1958,3,2.0,1092.0,2.1,97.13
380000,85029,1967,3,2.0,1334.0,3.3,91.9
430000,85041,2003,3,2.0,1759.0,4.5,76.54
499900,85020,1954,3,2.0,1680.0,2.1,97.13
858900,85250,1964,4,2.0,2209.0,2.5,101.35
610000,85016,1947,4,2.0,1508.0,3.2,97.13
599000,85302,1985,4,3.0,2828.0,0.0,91.9
449000,85043,2000,3,2.0,1621.0,3.2,76.86
420000,85301,1971,4,2.0,1964.0,0.0,100.04
379000,85041,1970,3,2.0,1300.0,4.5,76.54
699000,85032,1974,4,3.0,2150.0,3.2,99.97
380000,85345,1984,3,1.75,1288.0,0.0,85.28
410000,85302,1977,3,2.0,1884.0,0.0,91.9
412000,85008,1955,2,1.0,1014.5,4.5,81.79
725000,85020,1958,3,2.0,2030.0,2.1,97.13
355000,85031,1959,3,2.0,1320.0,2.4,100.04
715000,85053,1974,4,2.0,2725.0,1.5,91.9
419800,85303,1986,3,2.0,1473.0,0.0,95.89
250000,85007,1936,2,1.0,944.0,1.6,94.44
350000,85040,1950,4,2.0,2013.0,2.8,76.54
379999,85019,1959,4,2.0,1710.0,2.5,100.04
650000,85013,1954,4,3.0,2034.0,2.0,72.93
455000,85040,2021,5,2.0,1996.0,2.8,76.54
999900,85018,1962,4,3.5,2318.0,2.2,75.8
381000,85043,2004,4,4.0,1598.0,3.2,76.86
599000,85006,1935,3,2.0,1051.0,1.9,94.44
450000,85032,1974,3,2.0,1322.0,3.2,99.97
579999,85022,1978,4,2.5,2460.0,2.6,99.97
519000,85006,1950,4,2.0,1398.0,1.9,94.44
619000,85006,1945,4,2.0,1987.0,1.9,94.44
374995,85035,1975,4,2.0,1750.0,3.3,95.89
799999,85013,1947,3,3.0,2000.0,2.0,72.93
369900,85009,1955,3,2.0,1216.0,4.0,65.7
390000,85031,1957,4,2.0,1940.0,2.4,100.04
475000,85032,1971,4,2.0,1653.0,3.2,99.97
675000,85257,1955,3,2.0,1594.0,2.5,101.35
