ID,Price,Address,zip,status,Subdivision,Year Built,Bedrooms,Bathrooms,Approx SQFT
165,375000,1606 W CULVER ST,85007,Active,FQ STORY ADDITION PLAT E,1947,2,1,917
166,435000,4123 W Hayward AVE,85051,UCB (Under Contract-Backups),NORTHERN PALMS,1970,3,2,1652
167,615000,330 W HAZELWOOD ST,85013,Active,SOUTH PIERSON PLACE HISTORIC & NATIONAL REGISTER NEIGHBORHOOD,1943,3,2,1647
168,664450,1217 E ESCONDIDO DR,85014,Active,ESCONDIDO HERMOSO,1970,2,2,1614
169,405000,2432 W Roeser RD,85041,Active,WESTON PARK UNIT 2,2005,4,2,1756
170,799000,3908 N 83RD ST,85251,Active,SCOTTSDALE ESTATES 8 LOTS 888-1013,1958,3,2,1716
171,414900,7014 S 45TH PL,85042,Active,KNOELL GARDEN GROVES UNIT 5,1983,3,2,1334
172,334999,6638 N 53RD DR REAR,85301,Active,SUGAR ADD BLKS 7-12 & 16,1955,3,2,950
173,300000,1817 E RAYMOND ST,85040,Active,PROGRESS PLACE,1991,3,2,1150
174,324900,3442 W ALTADENA AVE,85029,Active,WESTOWN 7 LOT 1242-1376 & TR D,1961,3,2,1192
175,489900,2638 W SPENCER Run,85041,Active,WESTON PARK UNIT 1,2004,3,2.5,2334
176,345000,2921 W HIGHLAND AVE,85017,UCB (Under Contract-Backups),NORTHWEST VILLAGE 2,1953,4,2,1272
177,415000,2610 W GABY RD,85041,Active,GRAYSON SQUARE,2010,3,2,1743
178,390000,3705 W LUKE AVE,85019,Active,COUNTRY LIFE HOMES UNIT 3,1957,3,2,1430
179,199000,2434 W MOHAVE ST,85009,Active,MEADOW ADDITION,1926,1,1,800
180,390000,6512 W MAGNOLIA ST,85043,Active,ARIZONA MEADOWS 2 AT TERRALEA,2005,3,2,1460
181,350000,757 W Southgate AVE,85041,Active,FRANCES MARGARET SUB.,1960,4,1,1556
182,421000,6709 N 77TH DR,85303,Active,MEADOWS AT INDEPENDENCE LOT 1-297,1994,3,2,1446
183,444000,10214 N 46TH AVE,85302,Active,WESTMINSTER VILLAGE AMD,1975,4,2,1823
184,432000,4544 W CAVALIER DR,85301,Active,WEST PLAZA 14A LOT 205-213 & TR B,1964,4,3,2377
185,495000,7208 S 30TH ST,85042,Active,ENCANTO AT THE LEGACY,2000,4,3,1841
186,454000,5662 W LAS PALMARITAS DR,85302,Active,PARADISE VISTAS,2002,3,2,1825
187,377000,7014 W VERDE LN,85033,Active,MARYVALE TERRACE NO. 49,1982,4,2,1312
188,384000,3101 N 75TH DR,85033,Active,LAURELWOOD UNIT 4,1979,3,2,1524
189,334000,8101 W MEADOWBROOK AVE,85033,Active,MARYVALE TERRACE NO. 53-B,1980,2,1,840
190,424000,7333 N 39TH DR,85051,Active,MELROSE SHADOWS 2,1961,4,3,1932
191,466000,6027 N 61ST DR,85301,Active,MARYVALE TERRACE 21 LTS 7803-7913 & TR A,1960,4,2,1665
192,490000,5333 W CHERYL DR,85302,Active,OAKDALE,1985,3,2,1889
193,497000,2138 E MONTE CRISTO AVE,85022,Active,MOUNTAIN VISTA UNIT ONE,1978,4,2,1596
194,716000,4416 E WHITNEY LN,85032,Active,COVEY UNIT 11,1988,4,3,2486
195,393000,7212 N 20TH DR,85021,Active,WESTWOOD HEIGHTS 2,1960,3,2,1321
196,345000,2030 N 37TH DR,85009,Active,DEL MONTE VILLAGE 1,1954,3,1.5,1640
197,341000,3426 W MARICOPA ST,85009,Active,TIERRA VERDE,1951,2,1,993
198,384000,5449 W FLOWER ST,85031,Active,MARYVALE TERRACE 19 LTS 6441-6445 & TR A,1959,3,2,1608
199,490000,5033 W NANCY LN,85339,Active,RANCHO VERDE ESTATES,2005,4,2,1885
200,475000,3531 W CHERYL DR,85051,Active,CONTINENTAL MEADOWS NORTH,1969,3,2,1843
201,338000,3622 W BERKELEY RD,85009,Active,TOWN HOUSE PARK,1953,3,1,1080
202,478000,4226 W TUCKEY LN,85019,Active,WEST PLAZA 12 LOT 2042-2211,1960,3,2,1676
203,325000,502 W MONTE WAY,85041,Active,SOUTH MOUNTAIN HEIGHTS,1950,2,1,1284
204,354000,6019 N 32ND DR,85017,Active,MARYVALE PARK 5 AMD,1954,3,2,1220
205,501000,6637 S 44TH LN,85339,Active,ROGERS RANCH UNIT 3,2005,5,3,2706
206,523000,3818 E BRANHAM LN,85042,Active,BLOSSOM HILLS,2018,3,2,1598
207,451000,2328 E WAYLAND DR,85040,Active,COPPER LEAF DEVELOPMENT UNIT 2,2007,4,2.5,1743
208,423000,10655 N 45TH DR,85304,Active,CAVALIER WEST,1972,3,2,1559
209,338000,6933 W GEORGIA AVE,85303,Active,HALLCRAFT WEST SIDE ESTATES 2,1977,2,1,832
210,505000,4636 W BURGESS LN,85339,Active,ROGERS RANCH UNIT 2,2005,5,3,2443
211,369999,3741 W MORELAND ST,85009,Active,WEST PHOENIX No. 4,1952,4,2,1415
212,585000,3925 W SANDRA TER,85053,Active,BRANDYWINE TERRACE,2004,4,2,2472
213,335000,833 E WIER AVE,85040,Active,ROSEVELT SQUARE,1976,3,1.5,1056
214,390000,1342 W 11TH ST W,85281,Active,MARGO MANOR LOTS 71-115,1960,3,1.5,1938
215,350000,4440 N 13TH PL,85014,Active,MEADOWBROOK TRACT BLK 1,1904,2,1,1070
216,389500,2007 N 55TH LN,85035,Active,MARYVALE TERRACE NO. 40A,1971,3,2,1064
217,425000,509 N 41ST PL,85008,Active,LANCASTER MANORS,1948,3,2,1376
218,445000,209 E HARTFORD AVE,85022,Active,CENTRAL PLACE NORTH LOT 1-140 TR A-L,1983,3,2,1322
219,900000,16031 N 16TH ST,85022,Active,LOOKOUT CANYON ESTATES LOT 1-49,1997,4,2.5,2776
220,649900,7013 E Cypress ST,85257,UCB (Under Contract-Backups),PAPAGO PARADISE UNIT 1,1955,4,2,1680
221,415000,1701 W LYDIA LN,85041,Active,VINEYARD PARK,2003,3,2,1770
222,289900,3219 E PIERCE ST,85008,UCB (Under Contract-Backups),"SUNBEAM 1 BLK 15, 16, 21, 22",1948,2,1,944
223,1000000,6332 N 16TH AVE,85015,CCBS (Contract Contingent on Buyer Sale),MARLETTE ACRES,2020,4,3.5,2969
224,500000,2428 N 38TH ST,85008,Active,NORTH EAST VILLAGE 2,1955,3,1.5,1145
225,595000,1805 N McAllister AVE,85281,Active,Cavalier Hills 2,1961,3,1.75,1780
226,375000,3423 W CORRINE DR,85029,Active,"WESTOWN 5 LOT 925-928, 943, 957-975 TR A & B",1960,4,2,1580
227,384999,1442 E Garfield ST,85006,Active,KLECK TRACT,1906,2,1.75,1048
228,415000,2523 W Tamarisk ST,85041,Active,Grayson Square,2006,3,2,1524
229,415000,1714 S 5TH ST,85004,Active,COPE ADD BLKS 1-6,2008,3,2.5,1576
230,399900,3748 W ACOMA DR,85053,Active,THUNDERBIRD VILLAGE 3,1974,3,2,1170
231,355000,3123 W HOLLY ST,85009,Active,Northwest Homesites 2,1949,3,2,1458
232,699999,3615 N 15TH DR,85015,Active,WESTWOOD TERRACE,1950,3,2,1773
233,519000,1346 E CORONADO RD,85006,UCB (Under Contract-Backups),GOVERNOR SQUARE,1945,2,1,945
234,650000,2515 N 10TH ST,85006,Active,FOWLER TRACT LOTS 1-96,1940,3,3,1900
235,199750,1010 S 31ST AVE,85009,Active,BEG 461' N OF SE COR SE4 SW4 TH W 133' N 50' E 133' S 50' TO BEG EX E 33' .15 AC,1950,3,1,1782
236,450000,5234 W RIVIERA DR,85304,Active,MARLBOROUGH COUNTRY,1979,3,2,1649
237,350000,2706 W Lawrence LN,85051,Active,ALTA VISTA 8,1954,5,2,1924
238,610000,3218 E CAPTAIN DREYFUS AVE,85032,Active,CHOLLA PARK 2,1965,6,4,2200
239,475000,3726 W CROCUS DR,85053,Active,THUNDERBIRD VILLAGE UNIT 2,1973,3,2,1619
240,799950,3013 N 27TH ST,85016,Active,PHOENIX HOMESTEADS TRACT LOTS 1-40,1959,3,2,2407
241,340000,2527 N 49TH AVE,85035,Active,BRAEWOOD ESTATES NO. 3,1973,4,2,1330
242,335000,3318 W SELLS DR,85017,Active,LYNNHAVEN PLAT 2,1954,3,1.75,1404
243,515000,4225 W BEAUTIFUL LN,85339,Active,ARTESA,2014,4,2.5,2522
