id,Price,Address,zip,status,mls,Subdivision,Year Built,Bedrooms,Bathrooms,Approx SQFT,CrimeRate
547,405000,5814 W ALICE AVE,85302,UCB (Under Contract-Backups),6390807,RANDOLPH RANCH,1998,3,2,1373,0.0
548,465000,3207 W Holly ST,85009,Active,6392217,Northwest Homesites,1940,4,2,2126,4.0
549,799000,1731 E VERDE LN,85016,Active,6392210,GARDENDALE ADD.,1945,3,2,1750,3.2
550,359000,14840 N 31ST DR,85053,Active,6381911,COUNTRY GABLES,1961,3,2,959,1.5
551,660000,1757 W SUNLAND AVE,85041,UCB (Under Contract-Backups),6376957,VISTA GRANDE,1970,12,6,3604,4.5
552,335000,4901 W Evans DR,85306,UCB (Under Contract-Backups),6392170,The Cove at Thunderbird,1984,2,2,1195,0.3
553,415000,2019 W LUKE AVE,85015,Active,6371724,BETHANY VILLA 3,1953,3,2,1650,5.5
554,615000,13824 N 52ND AVE,85306,Active,6367713,DEERVIEW UNIT 25,1978,3,2,1852,0.3
555,549000,3344 N 6TH AVE,85013,Active,6385124,PARK CENTRAL UNIT 1,1955,3,2,1406,2.0
556,365000,4337 N 70TH AVE,85033,Active,6392074,HEATHER HEIGHTS,1973,4,2,1300,3.0
557,369900,3649 W TOWNLEY AVE,85051,UCB (Under Contract-Backups),6341933,WISHING WELL VILLAGE 2,1961,4,1.75,1729,4.3
558,589000,1009 E MANZANITA DR,85020,Active,6380288,EL DOMINGO RANCHOS PLAT OF CORR.,1958,3,2,1619,2.1
559,480000,6311 W DESERT HILLS DR,85304,Active,6392027,WEST BLUFF,1981,3,2,1715,0.2
560,714900,8001 N 6TH ST,85020,Active,6360553,NORTHRIDGE ESTATES,1962,4,2.5,1944,2.1
561,540000,7708 S 36TH WAY,85042,UCB (Under Contract-Backups),6390844,ESTATES AT SOUTH MOUNTAIN,2016,3,2.5,2141,2.9
562,535000,3126 W BECK LN,85053,UCB (Under Contract-Backups),6374464,ESTRELLA NORTHWEST 1,1979,3,2,2274,1.5
563,460000,2154 W MULBERRY DR,85015,Active,6391144,WESTWOOD ESTATES 1,1948,3,2,1635,5.5
564,329900,5513 W LA REATA AVE,85035,Active,6390386,SKYVIEW NORTH UNIT 2,1972,3,2,1308,3.3
565,429900,1749 E Saint Charles AVE,85042,Active,6390373,CITRUS HILLS UNIT 1,1986,3,2,1454,2.9
566,355000,2005 N 23RD PL,85006,Active,6381979,WEST VEL RU,1950,3,1,1125,1.9
567,389900,809 N 8TH AVE,85007,UCB (Under Contract-Backups),6389294,KENSINGTON PLACE,1916,3,2,1340,1.6
568,513000,10014 N 9TH AVE,85021,UCB (Under Contract-Backups),6387356,IRONWOOD PLACE,2018,3,2,1450,2.8
569,310000,4547 W MITCHELL DR,85031,UCB (Under Contract-Backups),6388445,SIESTA VILLAGE 3,1955,3,2,1331,2.4
570,385000,4202 N 72ND LN,85033,Active,6357080,MARYVALE TERRACE NO. 43,1972,4,3,1600,3.0
571,550000,3114 W LYNNE LN,85041,UCB (Under Contract-Backups),6386470,SOUTHERN VIEWS,2005,4,3.5,3770,4.5
572,300000,4548 N 48TH DR,85031,Active,6391845,MARYVALE TERRACE 2B LOTS 787-951,1955,3,2,1440,2.4
573,388000,2808 W LAWRENCE RD,85017,UCB (Under Contract-Backups),6388436,OCOTILLO PARK,1962,3,1.5,1540,4.1
574,459000,6801 W NICOLET AVE,85303,Active,6391834,SUMMERFIELD PLACE 4,2004,4,2,1847,0.0
575,875000,7805 N 78TH ST,85258,UCB (Under Contract-Backups),6386686,MERIDIAN ON MCCORMICK RANCH,1993,3,2,2062,0.0
576,660000,4028 E AVALON DR,85018,UCB (Under Contract-Backups),6389175,RANCHO VENTURA TR 11,1952,3,2,1374,2.2
577,430000,2322 E TAYLOR ST SE,85006,Active,6368215,AURORA PLACE,2022,3,2,1500,1.9
578,265000,1607 N 61ST DR,85035,UCB (Under Contract-Backups),6389371,MARYVALE TERRACE NO. 45,1973,3,1.75,1552,3.3
579,185000,2146 W MONROE ST,85009,UCB (Under Contract-Backups),6389349,CAPITOL ADDITION BLOCKS 43 & 44 35-38 29 & 30,1912,2,1,949,4.0
580,630000,2101 N NORMAL AVE,85281,UCB (Under Contract-Backups),6375567,PAPAGO MANOR SUBDIVISION,1962,3,2,1513,0.0
581,409900,4047 N 79TH AVE,85033,Active,6381474,Maryvale Terrace,1962,5,2,2237,3.0
582,770000,1459 N El Camino DR,85281,Active,6385234,Marlborough Park Estates,1980,4,3,2444,0.0
583,424900,3932 W GLENN DR,85051,Active,6391723,MELROSE SHADOWS,1960,4,2,1589,4.3
584,578000,902 E FAIRMOUNT AVE,85014,Active,6375238,CAMPBELL ADDITION,1943,2,2,1200,1.9
585,469900,3417 E EVERETT DR,85032,Active,6368924,PARADISE VALLEY OASIS NO. 10,1979,3,2,1643,3.2
586,709000,8509 S 22ND DR,85041,Active,6391664,SILVA MOUNTAIN UNIT 3 PARCEL 9,2021,4,3,2878,4.5
587,675000,4106 W VINEYARD RD,85041,Active,6354889,ARLINGTON ESTATES PHASE 2,2002,4,3,3159,4.5
588,499000,14435 N 20TH ST,85022,UCB (Under Contract-Backups),6383571,CAVE CREEK UNIT 2,1986,3,2,1593,2.6
589,515000,4821 W MALDONADO RD,85339,Active,6391614,ROGERS RANCH UNIT 1,2006,3,2,2225,2.0
590,489000,2027 E MONTE VISTA RD,85006,Active,6343250,JACKSON VILLA LOTS 1-27,1950,4,3,1732,1.9
591,824000,426 E Carol Ann WAY,85022,Active,6368100,Sandahl Homes Unit 1,1979,4,3,2432,2.6
592,650000,1018 S 4TH AVE,85003,Active,6391563,"MONTGOMERY ADD AMD BLKS 75, 83, 84, 91, 99-102",1986,7,4,3629,1.1
593,455000,3718 W PUGET AVE,85051,Active,6391559,WISHING WELL VILLAGE 2 LOTS 137-172,2002,3,2,1791,4.3
594,505000,3634 E SOPHIE LN,85042,Active,6391537,ESTATES AT SOUTH MOUNTAIN,2016,3,3,1851,2.9
595,829000,14820 N SKOKIE CT,85022,Active,6387980,MOON VALLEY 2,1973,3,2,2511,2.6
596,374000,11648 N 21ST DR,85029,Active,6390748,VALLEY VISTA,1961,3,2,1500,3.3
597,445000,8318 N 61st DR,85302,UCB (Under Contract-Backups),6370952,Executive Palms,1996,3,2,1775,0.0
598,775000,7023 N VIA NUEVA --,85258,UCB (Under Contract-Backups),6370287,PASEO VILLAGE AMD,1975,3,2,1941,0.0
599,799000,2502 E WHITTON AVE,85016,Active,6383659,KELTON MANORS,1950,3,3,2056,3.2
600,805000,4320 E PINCHOT AVE,85018,UCB (Under Contract-Backups),6374743,RANCHO VENTURA TR 16,1953,3,2,1436,2.2
601,999000,7055 E WILLETTA ST,85257,Active,6391483,PAPAGO PARKWAY,1958,4,2,2029,#N/A
602,521000,3839 S 26TH ST,85040,Active,6391455,SOUTHSIDE HOMESITES,2020,4,2,2031,2.8
603,447000,1847 E ENCINAS LN,85040,UCB (Under Contract-Backups),6371999,"BELMONT PARK BLKS 1, 3 & 5",1950,4,3,2559,2.8
604,549000,8050 N 11TH PL,85020,UCB (Under Contract-Backups),6356252,HACIENDA DEL CABALLERO,1954,4,2,1900,2.1
605,405000,4023 W LOMA LN,85051,Active,6364712,NORTHERN GROVES,1975,4,2,1927,4.3
606,437000,4819 W PALM LN,85035,Active,6391404,WEDGEWOOD PARK UNIT 7,1971,4,2,2247,3.3
607,561000,606 N 14TH ST,85006,Active,6391387,YAGGY TRACT,1930,3,2,1054,1.9
608,440000,10003 N 66TH DR,85302,Active,6391381,CHAPARRAL RANCH PATIO HOMES 3,1986,3,2,1273,0.0
609,490000,530 W 17TH ST,85281,Active,6391312,CAMPUS HOMES,1954,3,1,1520,0.0
610,995000,2930 E Turney AVE,85016,Active,6363859,Citrus Heights,1976,3,2,1433,3.2
611,399900,7003 W PALO VERDE AVE,85345,Active,6391341,PARKVIEW WEST UNIT 7,1985,3,1.75,1288,0.0
612,289900,1030 N 28TH ST,85008,Active,6391322,ELBURN,1952,2,1,748,4.5
613,995000,133 W SURREY AVE,85029,UCB (Under Contract-Backups),6387944,HERITAGE HIGHLANDS 2,1980,4,2,2584,3.3
614,814444,101 W BECK LN,85023,Active,6385641,PUERTA VIEJA 1,1976,5,2,2509,3.4
615,500000,2439 E ASTER DR,85032,Active,6391252,CLEARVIEW 5,1971,3,2,1698,3.2
616,729900,1743 E VOGEL AVE,85020,Active,6388456,OCOTILLO HILLS 8,1977,4,3,2300,2.1
617,799995,1501 W Willetta ST,85007,Active,6388381,FQ STORY ADDITION PLAT E,1946,3,3,1748,1.6
618,390000,1921 W ORANGEWOOD AVE,85021,Active,6388818,NEW CASTLE HOMES 3,1959,3,2,1429,2.8
619,550000,942 W PARKWAY BLVD,85281,Active,6390593,PARKWAY MANOR 2,1963,4,1.5,1684,0.0
620,525000,836 W WHITTON AVE,85013,Active,6390385,NORTH PARK CENTRAL UNIT 1,1951,3,1.5,1580,2.0
621,477000,5821 S 27TH LN,85041,Active,6377387,BARCELONA,2016,5,3,2315,4.5
622,739900,747 E ACOMA DR,85022,Active,6385403,MOON VALLEY VISTA 2 LOT 1-5,1988,4,2,2274,2.6
623,750000,15834 N 6TH PL,85022,Active,6389406,SANDAHL HOMES,1981,4,2,2640,2.6
624,358500,2348 N 56TH AVE,85035,UCB (Under Contract-Backups),6362916,HOMESTEAD TERRACE 6,1969,3,2,1260,3.3
625,430000,7990 W SOLANO DR N,85303,UCB (Under Contract-Backups),6385153,BETHANY POINT,1999,2,2,1287,0.0
626,525000,8419 N 58TH DR,85302,Active,6391098,THUNDERBIRD ESTATES LOTS 53-170,1973,4,2,2023,0.0
627,660000,1502 E WILLETTA ST,85006,Active,6370182,KENWOOD TRACTS A & B,1944,4,3,1501,1.9
628,450000,5923 W GARDEN DR,85304,UCB (Under Contract-Backups),6387786,OAKHOLLOW LOTS 1-209 & TR A,1988,3,2,1719,0.2
629,604000,9112 S 15TH WAY,85042,Active,6341369,MONTANA VISTA ESTATES,2014,3,2,2214,2.9
630,521000,7106 S 19TH DR,85041,Active,6365900,VENETO,2014,3,3,2235,4.5
631,505000,3628 W BROWN ST,85051,Active,6379368,CAVALIER FREEWAY NORTH UNIT 2,1970,4,2,2003,4.3
632,429000,4402 W GELDING DR,85306,Active,6384934,GOLDEN SUNBURST ESTATES,1986,3,2,1435,0.3
633,391000,2104 W LEWIS AVE,85009,Active,6384306,HI-WAY PARK,1948,3,1,1230,4.0
634,708000,120 E NORTHERN AVE,85020,Active,6383576,MELROSE GROVES UNIT 1 LOTS 1-27,1956,3,2,1728,2.1
635,485000,1210 W MISSOURI AVE,85013,Active,6350082,HANDELL VILLA,1950,3,2,1302,2.0
636,480000,4221 W SURREY AVE,85029,Active,6385286,WESTCLIFF PARK UNIT 1,1979,4,2,1648,3.3
637,528000,1531 W CAMPBELL AVE,85015,Active,6380864,"BONNIE LEA LOTS 21-58, 101-130",1948,3,2,1362,5.5
638,364000,2231 W LUPINE AVE,85029,Active,6384944,VALLEY VISTA,1960,3,2,1092,3.3
639,356000,4932 W CYPRESS ST,85035,Active,6375773,WEDGEWOOD PARK UNIT 2,1964,4,2,1276,3.3
640,423000,6602 W DESERT COVE AVE,85304,Active,6383594,BRAEWOOD VERDES UNIT 2,1983,2,2,1162,0.2
641,470000,10015 N 65TH AVE,85302,Active,6376773,CHAPARRAL RANCH 2,1986,4,2,1963,0.0
642,485000,6322 W BECKER LN,85304,Active,6372558,MONTARA,1984,3,2.5,1629,0.2
643,487000,2116 W AVALON DR,85015,Active,6372566,WESTWOOD VILLAGE,1952,4,2,2035,5.5
644,534999,2243 E NISBET RD,85022,Active,6381582,GREENWAY ESTATES NO. 2,1963,4,2,2240,2.6
645,429900,7238 W MONTEROSA ST,85033,UCB (Under Contract-Backups),6386194,MARYVALE TERRACE NO. 43,1972,4,1.75,1856,3.0
646,675000,4355 E BLANCHE DR,85032,UCB (Under Contract-Backups),6374373,ROYAL ESTATES EAST UNIT 4,1987,4,2,2248,3.2
647,425000,10248 N 37TH AVE,85051,UCB (Under Contract-Backups),6388309,CONTINENTAL MEADOWS NORTH,1969,3,2,1552,4.3
648,675000,1236 E ALICE AVE,85020,Active,6383513,NORTHERN-AIRE ESTATES 1,1967,4,3,2340,2.1
649,649900,3702 E LAUREL LN,85028,Active,6390947,STAR OF PARADISE 2,1963,3,2,1680,0.6
650,515000,5206 W ST KATERI DR,85339,Active,6390913,LAVEEN CROSSING UNIT 1,2005,5,2.5,3207,2.0
651,685000,11826 N 38TH PL,85028,Active,6385769,CAVALIER ESTATES UNIT 7,1971,3,2,1889,0.6
652,365000,4806 S 36TH DR,85041,UCB (Under Contract-Backups),6382504,ARRINGTON PL TR A,1963,3,2,1290,4.5
653,514900,2026 E MONTEREY WAY,85016,Active,6369540,OSBORN PARKWAY 2,1956,3,2,1486,3.2
654,699000,7597 W ROVEY AVE,85303,Active,6390834,TESSERA,2013,5,3,3804,0.0
655,510000,2925 E Dahlia DR,85032,Active,6390821,PARADISE VALLEY WEST 3,1971,3,1.75,1575,3.2
656,464999,1147 E MORELAND ST,85006,Active,6390802,AETNA PLACE,1930,4,1,1190,1.9
657,415000,930 E ILLINI ST,85040,Active,6390791,DEL SOL,1960,5,3,1942,2.8
658,486000,1137 E MILADA DR,85042,Active,6390780,DOBBINS CREEK,2004,3,2,1465,2.9
659,400000,14444 N 37TH PL,85032,UCB (Under Contract-Backups),6388454,PARADISE VALLEY OASIS NO. 7,1974,3,2,1144,3.2
660,427000,375 W COCOPAH ST,85003,Active,6374340,SAGUARO TRACT,1940,5,2,1995,1.1
661,519900,3232 E EMILE ZOLA AVE,85032,Active,6383822,PARADISE VALLEY OASIS 2 LOTS 192-359,1962,3,2,1375,3.2
662,388900,3311 E YALE ST,85008,Active,6384650,"LAWNDALE BLKS 1, 3",1949,2,1,858,4.5
663,460000,4813 W LYDIA LN,85339,Active,6390740,ROGERS RANCH PARCEL 15,2017,3,3,1702,2.0
664,589000,2723 W ORANGEWOOD AVE,85051,Active,6390210,ORANGELAND LOTS 5-10 & 15-16,1954,4,2,1811,4.3
665,420000,7208 N 37TH DR,85051,Active,6390734,SUNGOLD 2,1961,3,2,1818,4.3
666,530000,3207 N 25TH ST,85016,UCB (Under Contract-Backups),6388747,Mitch's Place,1955,2,1,1054,3.2
667,510000,2312 S 66TH LN,85043,Active,6375294,ARIZONA MEADOWS 2 AT TERRALEA,2005,5,3.5,2834,3.2
668,475000,8602 N 41ST AVE,85051,Active,6390723,MANZANITA MANOR,1976,3,3,2096,4.3
669,524900,4225 W ECHO LN,85051,Active,6386183,STURDUST SKIES UNIT 7,1967,4,3,2400,4.3
670,545000,7740 N 41ST AVE,85051,Active,6390665,NORTHERN PALMS UNIT 2,1970,4,2,2470,4.3
671,595000,12637 N COLUMBINE DR,85029,UCB (Under Contract-Backups),6375020,SWEETWATER 1,1971,4,3,2306,3.3
672,515000,7244 N 23RD AVE,85021,Active,6390636,NEWCASTLE HOMES 2,1957,3,2,1550,2.8
673,399000,4359 E NANCY LN,85042,UCB (Under Contract-Backups),6387971,WOODBRIAR UNIT 3,1972,4,2,1375,2.9
674,380000,9503 N 70TH DR,85345,UCB (Under Contract-Backups),6382780,PARKVIEW WEST UNIT 7,1986,3,2,1288,0.0
675,599000,6803 N 15TH PL,85014,Active,6390590,SQUAW PEAK HTS 4,1952,3,1,1768,1.9
676,315000,1822 E DIAMOND ST,85006,Active,6384536,"GRANDVIEW BLKS 9, 10, 11",1956,3,1,1335,1.9
677,415000,6801 N 31st AVE,85017,UCB (Under Contract-Backups),6381944,DEANMAR MANOR,1970,3,2,1779,4.1
678,310000,6923 W Monte Vista RD,85035,UCB (Under Contract-Backups),6367201,SKYVIEW NORTH UNIT FIVE,1978,3,2,1588,3.3
679,399000,15031 N 37TH AVE,85053,Active,6390461,DEERVIEW UNIT 12,1972,3,2,1824,1.5
680,464900,1111 N 28TH PL,85008,Active,6388328,28TH PLACE,2019,4,2,1553,4.5
681,499000,2356 W TIERRA BUENA LN,85023,Active,6387435,PONDEROSA HOMES NORTH UNIT 2,1973,4,1.75,1457,3.4
682,750000,9802 N 30th ST,85028,Active,6390214,PARADISE VALLEY OASIS,1968,3,2,1780,0.6
683,730000,435 E BARBARA DR,85281,Active,6389758,MARLBOROUGH PARK ESTATES,1981,3,2.5,2107,0.0
684,429944,807 E ALTA VISTA RD S,85042,Active,6389577,ESTRELLA RANCHO,1927,3,1,1100,2.9
685,489900,6223 W CLARENDON AVE,85033,Active,6385674,MARYVALE TERRACE 4 AMD,1958,5,3,2141,3.0
686,325000,1748 E MONTE VISTA RD,85006,UCB (Under Contract-Backups),6389606,RONALDS PARK,1935,3,1.75,1260,1.9
687,615000,7142 N 12th ST,85020,Active,6375525,NORTHWOOD MANOR 2,1954,3,1.75,1531,2.1
688,250000,41 E RAYMOND ST,85040,UCB (Under Contract-Backups),6389490,PATTON PLACE,1949,3,2,1192,2.8
689,355000,5616 N 62ND DR,85301,Active,6377770,MARYVALE TERRACE 20-A LTS 7490-7494,1959,4,2,1573,0.0
690,499000,1213 E MILADA DR,85042,UCB (Under Contract-Backups),6386453,DOBBINS CREEK,2004,3,2,2170,2.9
691,490000,4321 W RUTH AVE,85302,UCB (Under Contract-Backups),6372893,MANZANITA MANOR 2,1980,3,2,1806,0.0
692,405000,3326 W Yucca ST,85029,UCB (Under Contract-Backups),6387631,Knoell North Unit 4,1970,3,1.75,1590,3.3
693,434900,7150 W MONTECITO AVE,85033,Active,6390336,MARYVALE TERRACE 35 EAST,1970,4,2,1864,3.0
694,419000,1922 N 25TH ST,85008,UCB (Under Contract-Backups),6378290,Creighton Manors,1953,3,1,1236,4.5
695,349900,3020 W SOLANO DR,85017,Active,6385070,MARYVALE PARK,1952,3,1.5,1180,4.1
696,596000,1315 W ORANGE DR,85013,UCB (Under Contract-Backups),6386933,CHRIS GILGIANS CAMELBACK VILLAGE UNIT 1,1956,3,2,1513,2.0
697,450000,3547 W ENCANTO BLVD,85009,Active,6390258,ENCANTO NORTH,1959,4,2,1610,4.0
698,350000,7416 W GLENROSA AVE,85033,UCB (Under Contract-Backups),6387248,MARYVALE TERRACE NO. 35 WEST,1969,3,2,1240,3.0
699,630000,13411 N 41 ST,85032,Active,6385130,PARADISE VALLEY OASIS NO,1977,3,1.75,1667,3.2
700,480000,6614 W GOLDEN LN,85302,Active,6390120,FAIRVIEW CROSSING,1999,3,2,1596,0.0
701,599900,4839 E GRANADA RD,85008,Active,6382238,ORANGEDALE MANOR,1955,3,2,1765,4.5
702,750000,3027 N 83RD PL,85251,UCB (Under Contract-Backups),6382878,SCOTTSDALE SQUARE,1996,3,2,1899,0.0
703,480000,2202 N 37TH ST,85008,Active,6344417,DALE MANORS,1958,3,2,1355,4.5
704,389000,12410 N COLUMBINE DR,85029,Active,6390094,SWEETWATER 1,1970,3,1.75,1734,3.3
705,466000,9049 N 2ND DR,85021,Active,6390077,NORTH CENTRAL HEIGHTS A BLKS 1-6,1947,4,2,1652,2.8
706,469990,6944 W EARLL DR,85033,Active,6383467,MARYVALE TERRACE NO. 49,2016,4,2.75,1985,3.0
707,999000,8102 E MULBERRY ST,85251,UCB (Under Contract-Backups),6380807,TRAIL WEST 2 AMD,1961,3,2,1786,0.0
708,499000,3522 N 3rd ST,85012,Active,6384893,LOT 24 BLOCK 3 BELLA VISTA PLACE MCR 000638,1940,3,2,2413,0.6
709,399900,4420 W KEIM DR,85301,Active,6387611,WEST PLAZA 15,1963,3,2,1412,0.0
710,420000,4126 W IRWIN AVE,85041,Active,6390053,ARLINGTON ESTATES PHASE 2,2004,3,2.5,2103,4.5
711,650000,1014 E ORANGE DR,85014,Active,6390051,SMITH PLACE BLOCKS 1 2 4 5,1954,3,2,1126,1.9
712,759900,1505 E ESTRID AVE,85022,UCB (Under Contract-Backups),6380204,POINTE MOUNTAINSIDE GOLF COMMUNITY UNIT ONE,1994,4,3,2514,2.6
713,559000,1105 E MARYLAND AVE,85014,Active,6368844,MARLETTE MANOR,1956,3,2,1778,1.9
714,429900,13060 N 56TH AVE,85304,UCB (Under Contract-Backups),6387755,THUNDERBIRD PALMS 4 AMD LOT 884-1015 1019-1048,1984,3,1.75,1427,0.2
715,625000,2039 E GREENWAY RD,85022,Active,6383956,LOOKOUT MOUNTAIN VIEWS 1,1978,3,2,1537,2.6
716,685000,7730 N 7TH AVE,85021,Active,6384623,NORTH VISTA,1958,3,2.5,2225,2.8
717,320000,6029 W CLAREMONT ST,85301,UCB (Under Contract-Backups),6381086,RANCHO VIEJO,1953,4,2,1214,0.0
718,410000,5831 W PIERSON ST,85031,Active,6357355,MARYVALE TERRACE 16 AMD LOTS 3150-3276,1958,5,2,2479,2.4
719,514900,724 W PARKWAY BLVD,85281,UCB (Under Contract-Backups),6386838,MARILYN ANN UNIT 1,1961,4,2.5,1372,0.0
720,389000,5706 W Roma AVE,85031,Active,6388362,Marivalley Terrace 13,1956,4,3,1537,2.4
721,379900,7226 W WOLF ST,85033,Active,6388717,MARYVALE TERRACE NO. 34,1969,3,2,1540,3.0
722,369000,2336 N 48TH LN,85035,UCB (Under Contract-Backups),6384997,WEDGEWOOD PARK,1963,4,2,1628,3.3
723,390000,7023 S 38TH DR,85041,UCB (Under Contract-Backups),6388165,Cameron Creek,2004,3,2,1429,4.5
724,395000,5802 W FLOWER ST,85031,UCB (Under Contract-Backups),6381613,MARYVALE TERRACE 22 LOTS 8426-8591,1960,5,2.5,1848,2.4
725,400000,7167 W MARLETTE AVE,85303,UCB (Under Contract-Backups),6387200,CAMINO ESTATES,2003,3,2,1492,0.0
726,499500,2821 E TAMARISK AVE,85040,Active,6347874,NOT APPLICABLE,1963,4,3,1728,2.8
727,525000,7408 S 27TH PL,85042,UCB (Under Contract-Backups),6382713,MOUNTAIN GROVE COMMUNITY,2011,3,2.5,2074,2.9
728,679900,2935 E BERYL AVE,85028,UCB (Under Contract-Backups),6384772,RAMSES 1,1974,3,2,1704,0.6
729,775000,501 W EDGEMONT AVE,85003,UCB (Under Contract-Backups),6382775,LOU MAR VISTA,1951,3,2,1892,1.1
730,525000,1527 E GARY WAY,85042,UCB (Under Contract-Backups),6386732,HIGHLINE VISTA ESTATES,2003,4,2,1998,2.9
731,645000,7023 N 11TH WAY,85020,UCB (Under Contract-Backups),6376656,PALM TERRACE 3,1953,4,3,1910,2.1
732,579000,1719 E Madison ST,85034,Active,6389519,Collins Addition Phoenix Blocks,2022,4,2,2050,1.9
733,524900,4623 E HOLLY ST,85008,UCB (Under Contract-Backups),6386466,BAR C RANCH,1955,3,2,1436,4.5
734,465000,739 E CONSTANCE WAY,85042,UCB (Under Contract-Backups),6386662,VILLAGES AT VERONA,2016,3,2.5,1538,2.9
735,399900,213 E CAMPO BELLO DR,85022,UCB (Under Contract-Backups),6387965,CENTRAL PLACE NORTH,1983,2,2,1256,2.6
736,573900,3555 E CROCUS DR,85032,Active,6382173,PARADISE VALLEY OASIS NO. 10,1978,4,2,1792,3.2
737,465000,5010 W MERCER LN,85304,UCB (Under Contract-Backups),6386842,GREENBRIER UNIT 3,1974,3,3,1938,0.2
738,565000,6228 S 30th LN,85041,Active,6376172,Laveen Village,2014,3,3.5,3465,4.5
739,365000,5727 N 32ND DR,85017,UCB (Under Contract-Backups),6387505,"MARYVALE PARK 3 LOTS 661-831, TR C",1954,3,2,1121,4.1
740,359900,5627 W ENCANTO BLVD,85035,Active,6364724,HOMESTEAD TERRACE UNIT 7,1970,3,2,1260,3.3
741,590000,6513 E HOLLY ST,85257,Active,6385273,HY-VIEW 4,1964,3,2,1552,#N/A
742,349900,12629 N 30TH AVE,85029,UCB (Under Contract-Backups),6385949,WESTOWN 3,1959,3,2,1376,3.3
743,979999,8364 W MISSOURI AVE,85305,Active,6386354,MISSOURI RANCH,2003,5,3,4058,#N/A
744,359900,7104 W BECKER LN,85345,UCB (Under Contract-Backups),6377133,OAKRIDGE TRAILS AMENDED,1982,2,1,918,0.0
745,360000,7814 W ALVARADO RD,85035,UCB (Under Contract-Backups),6373152,VINSANTO,2013,4,2.5,1598,3.3
746,899000,5639 E EDGEMONT AVE,85257,UCB (Under Contract-Backups),6383244,FAIRWAY PARK,1952,3,2,1713,#N/A
747,675000,4342 N 24TH ST,85016,Active,6388626,CAVALIER VILLA 1,1952,3,2,1517,3.2
748,675000,4336 N 24TH ST,85016,Active,6388624,CAVALIER VILLA 1,1953,3,2,1550,3.2
749,700000,4332 N 24TH ST,85016,Active,6388620,CAVALIER VILLA 1,1952,3,1,1152,3.2
750,700000,2346 E MONTECITO AVE,85016,Active,6388617,CAVALIER VILLA 1,1952,3,1,1550,3.2
751,301900,831 S 9TH PL,85034,Active,6375815,STARR PLACE SOUTHERN VILLAGE,1951,3,2,985,1.9
752,449900,7275 W CACTUS WREN DR,85303,UCB (Under Contract-Backups),6386192,WESTGLEN VILLAS,2012,4,2.5,2047,0.0
753,769000,8475 E HAZELWOOD ST,85251,UCB (Under Contract-Backups),6364723,SCOTTSDALE HIGHLAND ESTATES LOT 1-33 TR A,1988,4,3,2448,0.0
754,590000,1809 N 38TH PL,85008,UCB (Under Contract-Backups),6380543,PAPAGO VISTA,1954,3,2,1427,4.5
755,315000,4439 S 8TH PL,85040,UCB (Under Contract-Backups),6386900,BROADWAY PARK,1946,4,2,1430,2.8
756,487500,939 W MERCER LN,85029,Active,6389232,SADDLE ROCK HILLS,1962,4,1.75,1412,3.3
757,569000,5545 W CORTEZ ST,85304,UCB (Under Contract-Backups),6377548,WINNWOOD ESTATES UNIT 1,1978,3,3,2015,0.2
758,330000,2901 N 38TH AVE,85019,UCB (Under Contract-Backups),6383909,DEL MONTE VILLAGE 3,1959,4,2,1325,2.5
759,459700,6757 N 75TH DR,85303,UCB (Under Contract-Backups),6371011,CASA LINDA,1999,3,2.5,1457,0.0
760,487000,11631 N 58TH DR,85304,Active,6374768,WARRANTEED WEST,1974,5,2,1836,0.2
761,325000,6717 N 55TH DR,85301,UCB (Under Contract-Backups),6386362,"PARK ADDN BLKS 26-28, 7-15",1950,2,1,1101,0.0
762,599900,11900 N 32ND ST 13,85028,Active,6387374,ENCLAVE AT 32ND STREET,2018,3,2.5,1850,0.6
763,417000,2026 N 17TH PL,85006,Active,6359099,ROSELAWN HEIGHTS LOTS 9-12,1935,2,2,960,1.9
764,400000,4320 W Darrow ST,85339,UCB (Under Contract-Backups),6386540,SOUTH POINT,2002,3,2,1522,2.0
765,365000,3520 W MARYLAND AVE,85019,UCB (Under Contract-Backups),6387111,WEST PLAZA 9,1959,3,2,1416,2.5
766,465000,3002 W Latham ST,85009,Active,6386191,NORTH WILLOW SQUARE,1954,5,3,3197,4.0
767,682000,3019 E FRIESS DR,85032,Active,6388955,CIMARRON HILLS 3,1996,3,2.5,2296,3.2
768,429000,6246 W ENCINAS LN,85043,UCB (Under Contract-Backups),6387181,Rio Del Rey,2001,3,2.5,1828,3.2
769,309500,1146 N 31st AVE,85009,Active,6374982,"el retiro, blk 3,4",1948,1,2,840,4.0
770,675000,933 W PORTLAND ST,85007,UCB (Under Contract-Backups),6387305,STORY ADDITION PLAT A,1925,4,2,1661,1.6
771,439000,4601 N 15TH AVE,85015,Active,6364576,PARK VIEW HOMES PLAT 2 LOTS 88-273,1952,4,2,1605,5.5
772,285000,1620 W COCOPAH ST,85007,UCB (Under Contract-Backups),6387355,CLINT THOMAS HOMES,1952,3,1,878,1.6
773,470000,2322 N 10TH ST,85006,Active,6336672,SYNDICATE PLACE Coronado Historic District,1945,2,1,532,1.9
774,799900,1236 E MCLELLAN BLVD,85014,Active,6384780,MCLELLAN MANORS,1953,3,2,2082,1.9
775,385000,5615 W NORTHVIEW AVE,85301,Active,6373069,"CATLIN COURT BLK 13-15, 18-20",1948,3,2,1386,0.0
