id,Price,Address,zip,status,mls,Subdivision,Year Built,Bedrooms,Bathrooms,Approx SQFT,CrimeRate
31,470000,5313 S 8TH DR,85041,Active,6395549,CYPRESS ON SUNLAND,2004,3,2.5,1798,4.5
32,744900,3727 E SAHUARO DR,85028,Active,6387626,SHEA FOOTHILLS,1970,4,2,1980,0.6
33,320000,4144 N 29TH DR,85017,Active,6395529,MISSION MANOR 2,1952,4,2,1356,4.1
34,399900,6408 W FLYNN LN,85301,Active,6327696,WESTDALE ESTATES UNIT 1,1973,4,2,2201,0.0
35,425000,9606 N 14TH ST,85020,UCB (Under Contract-Backups),6380115,S 65' OF N 311.16' OF W 94' OF E 124' OF NW4 SE4 .14 AC,1958,4,2,1758,2.1
36,529420,3550 E EDNA AVE,85032,Active,6387804,"PREMIERE AT SUMMER BREEZE TWO LOT 97-166 TR A,B",1992,3,2,1157,3.2
37,750000,5827 N 10TH ST,85014,Active,6395461,MARLEN GROVE,1952,3,2,1703,1.9
38,475900,2730 E DAHLIA DR,85032,Active,6392585,CLEARVIEW 6,1972,3,2,1380,3.2
39,496000,5026 W LAWRENCE RD,85301,Active,6395444,CAVALIER DALE,1955,4,2,1984,0.0
40,524000,4346 W SHAW BUTTE DR,85304,Active,6391875,LAUREL COVE,2017,4,2,2024,0.2
41,485000,10013 N 54TH AVE,85302,Active,6395430,OAKDALE,1984,4,3.5,2201,0.0
42,795000,544 W THUNDERBIRD RD,85023,Active,6390380,"MOON VALLEY LOTS 1-128, 146-339, TR A-E",1971,4,2,2150,3.4
43,570000,7215 N 15TH PL,85020,Active,6375953,SANDOLLAR AMENDED,1975,3,2.5,2098,2.1
44,379750,7214 W CAVALIER DR,85303,Active,6395420,BETHANY HERMOSA PARK 1,1970,3,2,1235,0.0
45,419000,6615 W COOLIDGE ST,85033,Active,6395415,PARKSIDE UNIT 2,1973,4,2,1681,3.0
46,299000,3525 W OCOTILLO RD,85019,Active,6395414,WEST PLAZA 9 LOT 1249-1410,1959,3,1.75,2144,2.5
47,699900,2525 N MITCHELL ST,85006,Active,6395413,FOWLER TRACT LOTS 1-96,1915,4,2,1925,1.9
